Parameter,Value,Std Error,p-value
Long-Run: Constant,34.60074690022097,6.389062020278144,1.4812763926218732e-07
Long-Run: β (PPOULTUSDM),1.315578961811281,0.06027288145164725,6.372364326731534e-59
ECM: φ (Error Correction),-0.00030380748934272987,0.00011820317606614984,0.010163563147255006
ECM: R-squared,0.15224444649210622,,
ECM: Observations,240.0,,
